index,condensed codes,extract
1312,surgical,"I would get 2-3 surgical opinions from different neurosurgeons in different practices. Then sit down with your husband (hopefully he went to your appts. with you) and talk about the various things that were said. I doubt you will ever have whatever it is you think a normal life is. Back injuries change lives forever. First you need to accept that, then go on with whatever kind of treatment/surgery you and your husband decide is right for you. It is ultimately your decision of course, but he will have to live with it too, so talk about it together. The benefit/risk ratio for back surgery is poor at best. A GOOD surgeon will tell you just what the chances are that you will have increased movement or decreased pain in your case. He will also be honest and tell you exactly what percentage of his patients with similar conditions actually do better after surgery, and what the risk of infections are in his patients. Ask him what he defines as success. Many studies define success as a 50% reduction in pain in 50% of the patients. That is not my idea of success. I would only have surgery for a functional improvement, not a decrease in pain. Write down your concerns and questions and write down the answers at your meeting, or have your husband do it for you. Do not schedule any surgery at the same appt. Go home and discuss things and think about things, perhaps have another appt. with the doctor you like the best if you have more questions. Then decide what to do. Remember that the hospital where you have the surgery is nearly as important as the surgeon you choose. Research their surgical infection rate and nurse/patient ratio. The fewer patients a nurse must care for, the lower the rate of surgical complications. Of course, you must also deal with your insurance company and which doctors and hospitals they cover. Surgery would be an absolute last choice for me. Take care, Annette"
4239,primary care provider interactions,MRIs are really good at showing us structurally what is going on. What they do not say is why we have pain.
4239,communication and learning about pain," A study done some time ago showed that some people have great MRIs and have lots of back pain, and others have terrible MRIs and no back pain at all. This study was one that had well over 700 participants and was quoted in multiple articles in professional magazines. I saw it quoted in a nursing magazine for RNs, and on Medscape for Internal Medicine Doctors, and in ""Arthritis Today"", a publication by the Arthritis Foundation. When the doctors in research come up with a test that shows why and where we have pain it will be VERY useful. This is why many people you discuss surgery with may have varying opinions about it. Even respected doctors may have different opinions about doing back surgery on the same patient. Take care, Annette"
3367,exploring non pharmaceutical techniques for pain,"This is a question for your prescribing doctor. I worked at a methadone clinic for heroin addicts back in the 1970s, but they know so much more about drugs and the treatments for pain and addiction nowadays. I believe you can still take ibuprofen, acetaminophen or other types of meds, or even non-drug therapies."
3367,primary care provider interactions,"Make sure you see an addictions specialist along with pain management so you get treatment that is correct for both types of problems. This is SO important. Kudos to you for giving up the heroin and getting straight. Take care, Annette"
3367,pharmaceutical adverse effects," Are you in pain now, or are you talking about just in case? What kind of pain do you have? Are you currently getting treatment for it? "
415,primary care provider interactions,"I have read here that some doctors want to see their new patients in maximum pain, so they ask them to not take their meds for one appt. I have never had a doctor like that. But I do know they have to document what they see. If you go to apply for disability later you want that pain noted in your medical records, and they cannot document what they have never actually seen. If he is planning on giving you injections, he would surely need to see you in pain to make a proper assessment, and know where to inject the drugs. I do know that often doctors want to make their own judgements on a patient, and purposely do not speak to other doctors on the case until after they see the patient and make their own diagnosis. Then they speak to the other doctors if they have any questions about the records or the patient. It seems he would want to verify your diagnosis, before he injects you with cortisone. Take care, Annette"
894,pharmaceutical therapy,"Both only used it for acute pain, not for chronic pain, so that is a major difference both in how well it may work and with the possible adverse effects. Nausea and vomiting usually go away as side effects of opiates within a few weeks of regular use. Taking the right opiate orally before your pain gets bad enough to go to the ER for an injection is also important and usually possible once you figure it all out. Demerol is an old drug that is rarely used anymore because its metabolites may cause serious side effects, even seizures. Morphine is used in injection form in the ER and can also be taken by mouth at home if the Darvocet doesn<APO>t work, as can oxycodone. You won<APO>t know until you try them if they will cause side effects or not. I am kind of surprised that your first RX of darvocet was for 120 pills since you have so much difficulty with side effects. That is a lot of pills if you find after several doses that you cannot take it or it does not work. "
894,communication and learning about pain,"I have read a couple of medical studies that used double blind randomised trials and showed that darvocet was no more effective than plain tylenol. My personal experience many years ago was the same, no more relief than I got from Tylenol. However, a good nurse friend of mine swears by darvocet and used it post op with good effect. She says it is better for her than vicodin. Another friend relates the same thing, she has used it for other kinds of pain in addition to post op pain.  My personal opinion really doesn<APO>t matter much. I would not use it again because it doesn<APO>t work for me, nor is it prescribed for the severity of pain I now have. I am glad that you are having a good experience with it so far. Take care, Annette"
2530,communication and learning about pain,"I totally agree with you about labels. I am a person first, and I happen to have a few medical conditions also. I am also on SSDI, the SSA labeled me as disabled. I found that going through their process, they do not use a diagnosis to justify disability, they want to know how your diagnosis alters your ability to work for a living. I worked for years with DDD in my cervical spine as a nurse, that is not why I became disabled. Not even related. I was not self labeled with DDD, my doctors gave me that diagnosis. I did not even have pain from my neck, I had functional deficits in my hands, and later on some numbness. I don<APO>t think of myself as disabled other than that I cannot work for a living anymore, or at tax time, when they ask that dreaded question. I think a diagnosis is a ""label"" given by a MD to a patient. I think you and I agree on the real issue, perhaps not the words, I am not sure. I am curious, in your opinion, what is the difference between a diagnosis and a label? Take care, Annette"
5334,pharmaceutical adverse effects,"I read about the study in Arthritis Today and also one of my nursing journals. I don<APO>t remember who did it, but it shouldn<APO>t be hard to find with a decent search engine. It was done this last year or so. I don<APO>t have ""horrible"" bladder pain, that sounds more like IC. Mine is more along the really annoying level. If you had a cystoscopy and the urologist found it, that is probably what you have. But check when you are in Germany. I think it is always good to get a second opinion. I slowly went up to 1800 mg. a day with the neurontin before it evened out my pain, then I went back down to 800 mg. a day. I cannot imagine that 100 mg. a day would do anything for anyone. "
5334,communication and learning about pain," I have flown for 7 hours, and my pain meds worked just as well as ever. Airplane cabins are pressurized now, so the pressure inside the plane is not relative to the altitude of the plane. Take care, Annette"
5334,primary care provider interactions,My doctor told me her pain patients go up as high as 3200 mg. a day. My neurosurgeon did not do discograms. He did not feel the info was worth the pain. He felt between the MRIs and CT myelograom he could get the info he needed.
225,primary care provider interactions,"What treatment do you believe a neurologist could have done for you back in 2006 other than just treating your pain? What could have been done to prevent the herniation? I have DDD of my cervical spine, I never had any injury either. I developed FMS long after my spinal problems came along. Take care, Annette"
225,surgical,"I had a C6-7 discectomy on my cervical spine in 1992, and herniated another disc at C5-6 after that. I have opted not to have any surgery on that disc, it was diagnosed as herniated by MRI in 1993. I have multiple other bulging discs in my neck, osteophytes, impingement on my spinal cord from the herniated disc. All that was from my last MRI over 15 years ago. I did have an MRI of my lumbar spine about 10 years ago, it is normal. As far as I know, there is no medical treatment that will prevent a bulging disc from herniating at a later date. "
2826,exploring non pharmaceutical techniques for pain,"Hi, Laura Read all you can, but pay attention to who sponsors the sites where you read. My favorite site for good medical info about FMS is http://www.myalgia.com . It is not an interactive site like this one, but the articles are very good and reliable in my opinion. Dr. Robert Bennett, MD is a rheumatologist who works at the university medical center where I live. He has done a lot of research on FMS with his group. I have tried many things in the 15 years that I have had FMS. What works for me may not work for you as far as meds go. But I feel that exercise is absolutely necessary to keep your muscles in good condition. I use my very tiny hot tub EVERY day, it is the one thing I can count on to make my pain go away, at least for a little while. Vitamins and supplements are up to you, I wouldn<APO>t get carried away. Try one thing at a time so you can see if it is actually helping or not. Continue with what actually helps you. Then on to the next thing. This is also a good idea with meds, as you will know what side effects are from what medicine. I think it is important to find the meds that help you sleep, and control your pain the best so you can exercise properly. Your doctor should help you with that. Go slow with the meds, you have to give some of them several weeks to see if they help or not. Also for the side effects to go away, they often do if you wait it out for several weeks. You didn<APO>t mention how old you are, but that is important also. Keep in touch. Take care, Annette"
2157,pharmaceutical therapy,"I have been taking methadone for about a year now, and have not had any of the side effects you mentioned. I am at a far lower dose though, that may make a difference. You have to start with a very low dose and work upwards very slowly to the best dose for you, often the doctor must finally decrease the dose at the very end of the titration process, as it builds up in your system due to the long half life. It is also very important to get a baseline EKG, and then get one yearly to monitor your heart. It can cause cardiac abnormalities in a very few people, but if you catch it, you just change drugs and it will go back to normal. I discussed it with a pain management specialist, even though my pcp manages my pain meds, just to be sure we had covered all our bases. I agree that no one should take any benzos (Xanax, ativan, valium, klonopin, etc.) along with any opiates. I believe it is a bad mix. I took a pain management class for healthcare professionals a year or two ago and the instructor said that the latest research said mixing opiates and benzos is a bad idea, and she said not to do it. She believed that soon doctors simply will not prescribe the two at the same time. I worked at a methadone clinic for addicts 40 years ago and we saw problems back then and asked our clients not to use benzos while they were on our methadone program. We also screened for them on the urine screens, just to be sure. All drugs have the potential to do harm, so you are absolutely correct in telling people to do their research, and be very careful. I do that for all drugs I take, not just pain meds. I am so glad you have resolved your problems and moved on to a different drug with a better side effect profile for you. Take care, Annette"
3639,exploring non pharmaceutical techniques for pain,"You should be able to reach both your upper arms, maybe your upper/outer hips, and both thighs. You have to learn to give injections with either hand if you are going to continue this. At the very least you should be able to use both upper arms and both thighs. Do not always stick the needle in the same place, it may be easiest but it won<APO>t work out well in the long run. There are charts you can use to document where you give yourself injections so you remember the rotation sites.  "
3639,pharmaceutical therapy,"Toradol is a great drug, but it has limits on how long you can use it due to possible GI side effects. I think it is five days only. I am not certain how you are using it, or how often. The muscle will heal eventually, but it might take a year or so for the lumps to go away."
3639,communication and learning about pain,"Share this with your doctor please. Take care, Annette"
1244,exploring non pharmaceutical techniques for pain,"Sorry, I have FMS also, and an end to our pain is not anywhere in sight for us. At best we can try a number of different things and hope each one will decrease our pain levels a little bit. The cumulative effect should be enough pain control for us to function.  "
1244,primary care provider interactions,"I would just come out and ask your doctor, ""Are you planning to dump me?"" Explain that you feel desperate and would not know where to go if he did that. You may be misreading his intent. He may be feeling that he is not an expert in this area, but that doesn<APO>t mean he would just dump you. If he would, then better you know now and start to prepare for that. I would see a neuro if you have not already, and then try a rheumatologist that treats FMS, and perhaps a pain management doc that uses many different treatment modalities, not just injections and procedures."
1244,exploring non pharmaceutical techniques for pain,I also agree that a shrink or a therapist that uses cognitive behavioural therapy may be able to help you learn to cope better. 
1244,communication and learning about pain,"Two books that I found very useful are ""Feeling Good"" by Dr. David Burns, MD and ""Managing Pain Before It Manages You"" by Dr. Margaret A. Caudill, MD, PhD. They are reasonably priced and both have worksheets you can pull out and copy to use to track your progress. Take care, Annette"
697,pharmaceutical therapy,"I<APO>m sorry but a total of 90 mg. a day is not that high a dose of morphine, at least not as far as I am concerned. When I switched over to my new drug I was taking 60 mg. of long acting morphine twice a day, plus BT meds. I would ask him about rotating to a different opiate if he feels that would be better than increasing the morphine. Perhaps that would help you. It sure did me, and I only changed for financial reasons, lol. I got better relief, and better function, too. There are no studies that I know of that have shown that any one narcotic is better than another as far as relief goes, or side effects. That said, I have known patients who just did better on one opiate than another for whatever reason. Usually I think it is due to the dosing, but it is also due to partial cross tolerance. I generally tolerate scores of 5-7 all the time and spikes of 8-10 occasionally, as long as I have access to treatments like my hot tub, TENS, Lidoderm patches, and BT meds in addition to my regular long acting opioid. Someone else may not be able to tolerate scores that high and still function, others can tolerate more pain than I can. Use this snowstorm while you are stuck inside anyway, and write down exactly what your goals are in the pain management area, and what your scores and activities have been like lately. I really believe in approaching doctors for more aggressive treatment of their pain by telling the doctor what they are, and are not, able to do at this point due to their pain interfering in their life. By approaching him with goals and function discussions rather than saying ""I am in terrible pain all the time"" I hope you will get better treatment from him. I would see him as soon as possible, call and make an extra appt. if possible. That lets a doctor know that the patient is really bothered by what is going on. If he is just an interventionist who was willing to give you meds for awhile to suck you into his practice, and he really wants to do this SCS surgery, and you don<APO>t have the money for it, you two may just be butting heads together and there may not be a real solution with this doctor. I don<APO>t know, because I don<APO>t know him. I am doing okay. My cousin died, and his sister<APO>s husband died three weeks later. Some other family stuff too. I am really tired, but other than that, I am okay. Thanks for asking. Hugs, Annette"
697,exploring non pharmaceutical techniques for pain,"Have you told him flat out that you just do not have the money for the SCS at this time in your life? ""Can<APO>t do it, try me on something else?"" Have you tried the TENS unit, Lidoderm patches, cognitive therapy, all the other options out there? You should be doing a whole variety of treatments. I think you have been pretty good about doing all that already, but ask him if there is anything else you can do. If he says there is nothing more he can do for you, ask him to refer you to another PM doc who uses meds more than injections and procedures. Your appt. sheets that state your pain levels and levels of function should clearly show him that you are not progressing and need a treatment adjustment. Everyone is different as far as what their pain scales show, and what activity levels they have with that kind of pain. "
2773,surgical,"After you have tried all the non-opioid meds, you can always try regular old pain pills of the opioid variety. That is something to discuss with the pain management doctor. Surgeons are not equipped to deal with chronic pain, only regular post op pain. "
2773,pharmaceutical therapy,"Some pain management doctors are interventionists and prescribe little or no oral medicine, they do injections, etc. I would personally go to a PM doctor that uses all means available to control your pain, including opioids, adjuvant medicines, PT, OT, biofeedback, massage, exercise, life style changes, your TENS unit, hot and cold treatments, etc. in addition to injections and other invasive treatments. I would call ahead and ask him what he offers before you keep the appt., just so you and he are on the same page. Take care, Annette"
1054,pharmaceutical therapy,"Many anesthesiologists are trained in pain management techniques. If your present doctor won<APO>t increase your oral meds, see this guy and consider what he suggests. If your present PM doctor sees that you are willing to try other things to control your pain, he may change his mind about increasing the oral meds if you still need them. "
1054,primary care provider interactions,"You and this doctor are relatively new to each other aren<APO>t you? It takes awhile to build trust between a doctor and a patient. Skipping around from one doctor to another is not always a good idea. I would only advise it under certain circumstances. Take care, Annette"
4918,pharmaceutical therapy,"My husband was on opiate therapy for chronic pain management, he had no trouble managing his pain when he went to the hospital and had his hip replaced. That was the cause of his pain. The pain management team at the university hospital where he went were in charge of his pain and of course, I was concerned that he would not be well taken care of. But, he WAS. He had little to no pain while in the hospital. They used two patient controlled pain med pumps, one had IV opiates in it, and the other went through a catheter into his hip, it contained a local anesthetic and numbed the nerves involved. He tapered off the methadone after the surgery was behind him and had no withdrawal symptoms at all. "
4918,primary care provider interactions,"Every doctor I have ever been to told me at the first meeting that they don<APO>t prescribe opiates for chronic pain, but they all offered to do so after they got to know me better, usually after 3-4 appts. If they told everyone on the first visit they would be happy to give them opiates, they would be inundated with drug abusers. They have to filter them out somehow. "
4918,pharmaceutical adverse effects,"I can<APO>t think of any way that works 100% of the time without affecting the real chronic pain person. Since you state clearly that you do not wish to go back on Oxycontin again, and using any opiate would cause the same kind of dependence that you wish to avoid, I am not sure what you are asking for??? There are other non-opiate pain management treatments that you can use, try them. There is no guarantee they will work, but the cumulative effect of several that give you mild relief when used alone may be worth using together. Take care, Annette"
4191,communication and learning about pain,Newer research is showing a bad interaction between opioids and benzos. I took a class for healthcare professionals at the college level a year or two ago and the instructor said that she thought soon doctors would stop prescribing opioids and benzos to the same patients. The diazepam you are taking is a benzo.  
4191,privacy,"All requests for medical records need to be in writing, and signed by the patient requesting them. This is due to the HIPAA laws now in place. Phone calls don<APO>t work. It helps if you put your birth date on the request also. They should have told you all that in a letter when he died. I will check the DEA website also."
4191,primary care provider interactions,"I have not heard anything about this. Did the new drug contract have anything in it that you specifically object to? I don<APO>t blame you for feeling nervous, I would talk to the doctor, be as direct as you can. See what he says. Take care, Annette"
5089,pharmaceutical adverse effects,"I am so sorry for your loss. I am afraid that this may be posted too late to help you, but just in case... It is my understanding that valium does not come in 20 mg. pills. I looked it up in my drug book to make certain. It does not list this dose at all. The maximum dose that should ever be prescribed to an adult is 20 mg. orally. Odds are that it will show up in your urine test tomorrow."
5089,primary care provider interactions," If you have a contract or agreement with your pain management doctor not to take any scheduled medications, you have broken that agreement. It would be best to tell him prior to getting your urine tested. Since the drug was prescribed to you, that may mitigate things, I am not sure. Doctors hate to find these things out when the test comes back. Take care, Annette"
1003,policy and pharmaceuticals,"If anyone who visits here does not have insurance and cannot afford to go to the doctor for an exam and a diagnosis, many communities have free/low cost clinics and other specialty care. I know because I volunteered in one twice a week for about nine years. I had a hard time finding it because it did not advertise. To find one, I suggest you call Goodwill, Salvation Army, Catholic Charities, or your local health department and ask what is available in your community. You can also use a search engine like Google, I put ""free medical clinic in (the town I was looking in)"" in the search box, and found a number of choices in the towns where I was looking for family members. The organization ""Volunteers in Medicine"" runs clinics in a number of communities. Needymeds.com is a website that one can use to find out what meds are covered by patient assistance programs run by the various drug companies. There are other medication assistance programs available also. "
1003,communication and learning about pain,"This site is great to get supportive information from folks who have similar problems that you do, but it is not the place to get a diagnosis. Only a doctor can do that, and only after actually seeing you in person. NO ONE can make a diagnosis on line without seeing a patient in person. I really believe that the only way to get proper care is to see a doctor as a starting off place. It is fine to use the internet to research a condition once you have been diagnosed, but it is very unwise to try and diagnose yourself based on what you read, or get someone else to diagnose you on line. After you get information online take it to your doctor and discuss it with him/her. Not all info you find on line is accurate or appropriate for your illness. I would suggest one use reliable medical sites for information, not sites that are trying to sell you stuff. I use evidence based medical research when it is available. Sites like Medscape have articles from peer reviewed medical journals. Take care, Annette"
2615,exploring non pharmaceutical techniques for pain,"With your back and leg pain, you might not be the right person to be doing those things for your dad, even though you want to. Your own injuries may preclude you from being his caregiver. To find out, I would ask the doctor to send a home health care Occupational Therapist to your dad<APO>s home to see how you can do things easier. I was an RN in home health care for awhile and the OTs were great. They could break things down and teach folks to do them in such a way as to not cause further harm. Or ask your dad<APO>s doctor to get home health more involved in his care and the housekeeping. For instance, you said you are ""unable to stand to clean the wound"", why stand up? Nurses do things like that sitting when possible. This is just one thing you might learn how to do differently so as to cause you less pain.     "
2615,pharmaceutical adverse effects,"There is only a partial cross tolerance, so if you switch over to too high a dose, you could die of an overdose, then where would your dad be? When I changed my drug dose or switched to a new medicine, I expected to see my doctor in person more often, once it was adjusted properly, I went back to less frequent appts."
2615,pharmaceutical therapy,"That aside, and back to your pain meds. The starting out dose of a new pain med, when switching over from a different one, should be started very low, then adjusted upwards to cover the pain appropriately. My doctor and I went by my total daily dose of MS Contin (generic) per 24 hours. Sometimes I took it every 8 hours, sometimes I took it every 12 hours. She was happy to just double the total daily dose, but I wanted to increase it only by 50%. I wanted to then adjust the number of hours apart the doses were. She let me do it my way, after I explained it to her. Eight hours, twelve hours, both worked fine for me. Talk to your new doctor, but please do not compare him to his face with your old doctor. That is like comparing the new wife to the dead one, no one is ever happy with that comparison. Take care, Annette"
780,primary care provider interactions,"Lots of discussions get off track from the initial post. Different people post different things and someone may decide to discuss something in a new post under an old thread. I don<APO>t have a problem with that. I feel in this case the ""books and dosage scales"" ARE important. People mentioned that they thought the dose was off and that she may be overdosing, that this was not even the correct drug to be using for chronic pain, etc. I took the time to look up the proper dosing for chronic pain and the percentage of people with specific side effects in a proper reference book. I feel that knowing the doctor was prescribing in the normal range of use for that medical problem would be reassuring. It does not mean that is the correct dose for that patient, that is up to the husband and the wife and the doctor to discuss personally and make whatever adjustment is necessary. The doctor can SEE the patient, and has access to much more information than we do. He also has the medical license. You say we need to ""always look at the patient"", of course this is true. However, we cannot see the patient, nor is she our patient. We are not even communicating with the patient, we are in communication with the husband of the patient. I feel when dealing with message boards, we need to have a bit more confidence in the patient and her husband communicating with HER doctor. Perhaps helping her to do that more effectively is the best thing we can do without ever even meeting her. We all share our own experiences, you made a point of saying you are an ICU nurse, that may make some folks think you are in some way more authoritative than someone else."
780,social support for pain," I do not know if that is your intent or not. Is that not a part of your life experiences? WebMD has a specific place on their site where people do share their experiences with all kinds of different drugs, so apparently they do feel that kind of sharing is appropriate. Go to the different exchanges here, many posts are made up of folks telling each other how they reacted to specific drugs, good and bad. If you don<APO>t wish to share your own experiences with drugs and side effects, that is your choice. You and I do not get to decide when to ""have her checked out"" by a medical professional. That is properly up to the patient. I have every confidence that Cabriel<APO>s wife can make the appropriate decisions in her case. Take care, Annette"
652,primary care provider interactions,"I was the EMS liason person at one ER where I was the nursing manager. It was a small rural hospital. Fun, you know what I mean, lol. My doctor<APO>s asst. called me back this am, and told me they billed the correct insurance company for the drug screen. She said they plan on doing the random screens about twice a year. I have been seeing the same doctor for about 12 years, and never, ever asked for early refills, lost drugs, etc. She always tells me if all her pain patients were like me, life would be so much easier. I am an old RN and just know what doctors need to know about, and how to play the game."
652,exploring non pharmaceutical techniques for pain,"They would not give me any time off so I didn<APO>t go. I needed sleep more than that meeting. My nurse manager told me she was sorry but that was the time they had worked out that they could do it, lol. Typical hospital corporation. You have been through much more of that kind of thing than I have, due to your line of work. Thanks again for the name of the test, I looked it up and did some reading about it. Take care, Annette"
652,social support for pain," I just try to offer up whatever I know about what a poster is asking about and try to avoid being judgmental. That is all we can do. I am doing okay. My cousin and his sister<APO>s husband both died within three weeks of each other. I don<APO>t know how she manages, I would be a mess if I lost both my husband and one of my brothers in such a short time. We knew my cousin was going to die, he had been ill for quite awhile, but her husband died all of a sudden after being well and healthy for most of his life. Makes me realize how important it is for all of us to keep in touch with relatives and not put off until next year what we can do today.  I got held up while working in the ER once, a guy told me he had a gun and wanted the liquid cocaine in the eye cabinet. I talked him down and pushed the panic button that called the local police. I had him undressed, in a gown, and laying on a guerney, behind a curtain, by the time they arrived, guns drawn. They arrested him, but he had a hand laceration that our doctor needed to suture up first. My buddy had evacuated the ER of the rest of the patients while I had him behind a curtain. Great team work. The hospital had an incident debriefing meeting on the one day that month when I was working the night before and the night after the meeting, both 12 hour shifts. "
61,pharmaceutical adverse effects,"It is correct medical practice to use about 50% of the equianalgesic dose when switching to a new opiate as the starting dose. This is because there is only a partial cross tolerance between opiates. If the patient has increased pain or what seem like withdrawal symptoms, she should be given breakthrough meds by the doctor to use as he adjusts the dose of the patch upwards slowly until she is doing well. There are also guidelines for patients to use when starting on the fentanyl patch when they are only on short acting opiates and have never used long acting opiates of any kind. I am sorry you have had such a terrible experience with doctors in regard to your pain meds. I have been very fortunate in having had great doctors. I ran into one ER doctor about 25 years ago when I went in with a migraine while visiting someone out of town. He was really rude, his ER nurse apologized for his behavior. He did give me an injection that worked just fine though. I wasn<APO>t on any opiates at that time. I marked it up to he was having a bad night. Addicts and drug dealers are happy to go through the degradation and intimidation to get meds. I find that very sad. Vent anytime, and feel free to ignore my posts if you want to. I speak out very frankly, but as accurately as I can. Not everyone likes that. Take care, Annette"
382,pharmaceutical therapy,"That is great that the doctor evaluated your need for pain meds and came up with a plan for you and the baby. I am glad you have found some relief with the vicodin. Hopefully, now the Maternal Fetal Medicine group will be able to manage your care. Best of luck to you and the baby!! Take care, Annette"
105,surgical,Please see a pain management specialist before you opt for another surgery. There are lots of treatments and other meds to try first
287,primary care provider interactions,"If you have read my posts very often, you will know that I don<APO>t really think it is safe to have multiple doctors writing RXs for you. Many sleep aids are also controlled substances, have you signed a contract with your PM doc to only get controlled substances from him? Keep that in mind. Don<APO>t break any rules, or you could get booted out of his practice. "
287,pharmaceutical therapy,"That said, Teresa mentioned several of the anti-depressants used for chronic pain management. The oldest one, amitriptyline, is often taken in the evening or at bedtime, and has a side effect of causing sleep. Something like that might be a good place to start, in that it may help your pain levels and help you sleep. The others she mentioned aren<APO>t as likely to help you sleep. Take care, Annette"
3,pharmaceutical adverse effects,"I would discuss this with your pharmacist and doctor. Most people who are allergic to ""sulfa"" drugs, mistakenly say sulfur. There is no reason that I know of why someone who is allergic to sulfa drugs would not be able to be treated with the opiates. I looked up morphine and methadone and neither mention any cross sensitivity for folks with allergies to sulfa drugs. Nor does it mention sulfur allergy as a problem. I looked them up in a nursing drug handbook. Sulfur is a naturally occurring mineral, sulfa drugs are entirely synthetic. Take care, Annette"
6,communication and learning about pain,"Ask your pharmacist to be sure if you are concerned. I have seem them prescribed together before. The flexeril may be causing the dry mouth, that is a common side effect. Tramadol can also cause a dry mouth, but not as often. Sugar free hard candies can help with the dry mouth. Or regular hard candies if you can stand the calories. Brush your teeth often, as a dry mouth can cause cavities. Take care, Annette"
7,communication and learning about pain,"Why are you afraid you have cauda equina syndrome? What would that have to do with falling asleep with your head on the back of your chair? What do you mean by ""I<APO>m spotty with my voiding functions""? Take care, Annette"
8,pharmaceutical therapy,"Is what you want narcotics? You don<APO>t even say what your symptoms are. 150 mg. a day of tramadol is not a high dose, you can take up to 400 mg. a day (with a doctor<APO>s prescription of course). Do you have any history of alcoholism or drug abuse? Why won<APO>t you take non-narcotic meds? Why won<APO>t they give them to you? Do they feel they aren<APO>t necessary, are you a risky patient to prescribe them to? Take care, Annette"
10,surgical,"I had an anterior approach for my discectomy (no fusion).I had no real trouble swallowing afterwards. I did have numbness along my neck for several years after the surgery, not total numbness, but partial with a definite change in feeling when I stroked my neck with my finger. It still feels a little different, I had my surgery in 1992. I had had difficulty with my right hand, and the herniation was pressing inward on my spinal cord, osteophytes were noted on my MRI. My hand function was normal immediately after the surgery. Unfortunately, six months after the surgery, I was rear-ended and herniated the disc above with the same outcome, pressure on the spinal cord. I have developed new osteophytes. This time I had no trouble with my hands so I opted to not have any further surgery. Take care, Annette"
11,communication and learning about pain,"Ditto what Swank said. I am also concerned that she fell twice, once into a wall with her shoulder, and once 4 feet onto her hip. Nurses are always taught to ask about domestic abuse in that scenario, as well as look into anything else that may cause frequent injuries. What<APO>s up with all the falling? That is not normal. She needs to see a doctor. Take care, Annette"
12,exploring non pharmaceutical techniques for pain,"I<APO>ve had neither. I had one injection into a very painful spot that did work, but hurt really bad, nothing minor about that pain. It was worth it to me. The original pain has not come back at the original severity. That one shot also cost me $200 above what my insurance company paid. My question would be why increase pain, minor or not, if the injection is not likely going to work at all? The evidence of many injections and radio frequency ablation is pretty poor for relief. Your history of 20 injections and RFA that did not work, would point me away from these treatments if I were considering them. Good luck with your own quest for relief. Take care, Annette"
14,primary care provider interactions,"Please go back and see your doctor again. If you have had this pain all along, tell him that. If the initial pain went away, came back, and this feels the same to you, tell him that. If this feels completely different, tell him that. Be sure to tell him if you have any other symptoms at all, even if they seem unrelated, like nausea, jaw pain, arm pain, sweats, etc. Take care, Annette"
16,pharmaceutical therapy,"Although they call it restless leg syndrome, the symptoms can happen all over the body, not just in the legs. It can also happen in the daytime, not just at night. I started taking Ambien about ten years ago, and it helped me sleep better. When I started taking neurontin for FMS pain, that seemed to really help the RLS also. My husband said I wasn<APO>t moving around in bed as much, and I stopped wearing holes in the bottom sheets from kicking my feet. Some anti-Parkinson<APO>s drugs are also used for RLS. Sinemet comes to mind, but there are others also. Tell the rheumy again that it is keeping you from sleeping and ask if there is there anything he can do? If he feels like he doesn<APO>t know what to do, ask him for a referral to another doctor for help. Don<APO>t take nothing for an answer. Or you could ask your pcp if you feel he would be more helpful, but I would start with the rheumy myself. Take care, Annette"
64,headache,"I would discuss this with a pharmacist who is well informed about these things. Opiates are not the best drugs for migraines anyway, can you take any of the migraine rescue drugs? I had terrible migraines four to five times a week at the worst. I stopped using opiates completely, and relied on other types of meds and found they really worked better. Opiates can cause rebound headaches if you take them more than 2-3 days per week. I was always glad I didn<APO>t develop those. Take care, Annette"
89,pharmaceutical therapy,"I live in a state where there are laws on the books to protect medical marijuana users. They have to get a doctor to fill out a form and they pay a yearly fee, they then get a card from the state. As long as they do that, the state and local police will leave them alone. Of course, nothing protects them from the feds. I tried it years ago when we first moved here, both of my doctors at that time said it was okay in moderation if it worked. For me, it did not work at all, so I never bothered to apply for the card. I feel the same way about marijuana that I do about other pain management drugs. I feel it you are more functional on it than you are off of it, it is okay to use it in moderation. If all one did was lay around stoned all the time, I would not consider that more functional. You also have to consider your own body<APO>s toleration of smoking daily. As I see it, you have several options: keep it on the down low and live in fear of getting caught, work towards getting it legalized, or move elsewhere where there are at least local laws to protect you. You also need to decide whether or not to discuss this with your doctors as marijuana can interact with other drugs. You can feel them out first and see what their views are before actually telling them you are already using it. The last suggestion I have is to ask your doctors about prescribing Marinol for you. It is a pill that contains THC, the main ingredient of marijuana. If this works for you, it eliminates the illegal aspects of smoking pot, and the possible harm to your lungs of smoking it. Take care, Annette"
153,primary care provider interactions,"From that reading of the MRI, it sounds like they are talking about the bone of the T12 vertebrae, since they said ""no bone edema to suggest acute injury"". That probably has nothing to do with any pain you are having now. See a neurologist or your own doctor to ask how any of this might relate to your present pain. It may well be none of it is relevant. Take care, Annette"
